"Spp","Tag","Sampling_tree","Region","Num"
"Acari","A-bay-mid","Bay","Mid",10
"Acari","A-loblolly-mid","Loblolly","Mid",2
"Acari","A-open-mid","Open","Mid",7
"Acari","A-sycamore-low","Sycamore","Low",6
"Acari","G1-bay-low","Bay","Low",6
"Acari","G1-bay-mid","Bay","Mid",16
"Acari","G1-Loblolly-High","Loblolly","Upper",35
"Acari","G1-loblolly-mid","Loblolly","Mid",23
"Acari","G1-oak-high","Oak","Upper",16
"Acari","G1-oak-mid","Oak","Mid",4
"Acari","G1-open-low","Open","Low",16
"Acari","G1-open-mid","Open","Mid",2
"Acari","G1-open-upper","Open","Upper",7
"Acari","G1-Tulip-low","Tulip-poplar","Low",6
"Acari","G2-bay-mid","Bay","Mid",11
"Acari","G2-loblolly-upper","Loblolly","Upper",12
"Acari","G2-open-low","Open","Low",10
"Acari","G3-hickory-mid","Hickory","Mid",18
"Acari","G3-loblolly-upper","Loblolly","Upper",6
"Acari","G3-open-low","Open","Mid",62
"Acari","G3-open-upper","Open","Upper",4
"Acari","G3-sycamore-low","Sycamore","Low",5
"Acari","T-hickory-mid","Hickory","Mid",16
"Acari","T-oak-low","Oak","Low",19
"Acari","T-oak-upper","Oak","Upper",16
"Acari","T-open-low","Open","Low",7
"Acari","T-open-mid","Open","Mid",7
"Acari","T-open-upper","Open","Upper",9
"Araneae","A-bay-mid","Bay","Mid",4
"Araneae","A-loblolly-mid","Loblolly","Mid",0
"Araneae","A-open-mid","Open","Mid",0
"Araneae","A-sycamore-low","Sycamore","Low",0
"Araneae","G1-bay-low","Bay","Low",1
"Araneae","G1-bay-mid","Bay","Mid",0
"Araneae","G1-Loblolly-High","Loblolly","Upper",0
"Araneae","G1-loblolly-mid","Loblolly","Mid",0
"Araneae","G1-oak-high","Oak","Upper",3
"Araneae","G1-oak-mid","Oak","Mid",3
"Araneae","G1-open-low","Open","Low",0
"Araneae","G1-open-mid","Open","Mid",0
"Araneae","G1-open-upper","Open","Upper",2
"Araneae","G1-Tulip-low","Tulip-poplar","Low",0
"Araneae","G2-bay-mid","Bay","Mid",0
"Araneae","G2-loblolly-upper","Loblolly","Upper",0
"Araneae","G2-open-low","Open","Low",0
"Araneae","G3-hickory-mid","Hickory","Mid",0
"Araneae","G3-loblolly-upper","Loblolly","Upper",0
"Araneae","G3-open-low","Open","Mid",0
"Araneae","G3-open-upper","Open","Upper",1
"Araneae","G3-sycamore-low","Sycamore","Low",0
"Araneae","T-hickory-mid","Hickory","Mid",0
"Araneae","T-oak-low","Oak","Low",0
"Araneae","T-oak-upper","Oak","Upper",0
"Araneae","T-open-low","Open","Low",0
"Araneae","T-open-mid","Open","Mid",3
"Araneae","T-open-upper","Open","Upper",5
"Camponotus","A-bay-mid","Bay","Mid",0
"Camponotus","A-loblolly-mid","Loblolly","Mid",0
"Camponotus","A-open-mid","Open","Mid",4
"Camponotus","A-sycamore-low","Sycamore","Low",0
"Camponotus","G1-bay-low","Bay","Low",0
"Camponotus","G1-bay-mid","Bay","Mid",0
"Camponotus","G1-Loblolly-High","Loblolly","Upper",0
"Camponotus","G1-loblolly-mid","Loblolly","Mid",0
"Camponotus","G1-oak-high","Oak","Upper",0
"Camponotus","G1-oak-mid","Oak","Mid",2
"Camponotus","G1-open-low","Open","Low",0
"Camponotus","G1-open-mid","Open","Mid",0
"Camponotus","G1-open-upper","Open","Upper",4
"Camponotus","G1-Tulip-low","Tulip-poplar","Low",0
"Camponotus","G2-bay-mid","Bay","Mid",0
"Camponotus","G2-loblolly-upper","Loblolly","Upper",0
"Camponotus","G2-open-low","Open","Low",1
"Camponotus","G3-hickory-mid","Hickory","Mid",2
"Camponotus","G3-loblolly-upper","Loblolly","Upper",1
"Camponotus","G3-open-low","Open","Mid",0
"Camponotus","G3-open-upper","Open","Upper",0
"Camponotus","G3-sycamore-low","Sycamore","Low",0
"Camponotus","T-hickory-mid","Hickory","Mid",0
"Camponotus","T-oak-low","Oak","Low",0
"Camponotus","T-oak-upper","Oak","Upper",2
"Camponotus","T-open-low","Open","Low",7
"Camponotus","T-open-mid","Open","Mid",7
"Camponotus","T-open-upper","Open","Upper",0
"Chilopoda","A-bay-mid","Bay","Mid",0
"Chilopoda","A-loblolly-mid","Loblolly","Mid",1
"Chilopoda","A-open-mid","Open","Mid",1
"Chilopoda","A-sycamore-low","Sycamore","Low",0
"Chilopoda","G1-bay-low","Bay","Low",2
"Chilopoda","G1-bay-mid","Bay","Mid",0
"Chilopoda","G1-Loblolly-High","Loblolly","Upper",0
"Chilopoda","G1-loblolly-mid","Loblolly","Mid",0
"Chilopoda","G1-oak-high","Oak","Upper",1
"Chilopoda","G1-oak-mid","Oak","Mid",0
"Chilopoda","G1-open-low","Open","Low",0
"Chilopoda","G1-open-mid","Open","Mid",1
"Chilopoda","G1-open-upper","Open","Upper",0
"Chilopoda","G1-Tulip-low","Tulip-poplar","Low",7
"Chilopoda","G2-bay-mid","Bay","Mid",1
"Chilopoda","G2-loblolly-upper","Loblolly","Upper",0
"Chilopoda","G2-open-low","Open","Low",0
"Chilopoda","G3-hickory-mid","Hickory","Mid",0
"Chilopoda","G3-loblolly-upper","Loblolly","Upper",0
"Chilopoda","G3-open-low","Open","Mid",0
"Chilopoda","G3-open-upper","Open","Upper",0
"Chilopoda","G3-sycamore-low","Sycamore","Low",0
"Chilopoda","T-hickory-mid","Hickory","Mid",0
"Chilopoda","T-oak-low","Oak","Low",0
"Chilopoda","T-oak-upper","Oak","Upper",0
"Chilopoda","T-open-low","Open","Low",0
"Chilopoda","T-open-mid","Open","Mid",0
"Chilopoda","T-open-upper","Open","Upper",2
"Coeloptera","A-bay-mid","Bay","Mid",0
"Coeloptera","A-loblolly-mid","Loblolly","Mid",0
"Coeloptera","A-open-mid","Open","Mid",0
"Coeloptera","A-sycamore-low","Sycamore","Low",4
"Coeloptera","G1-bay-low","Bay","Low",0
"Coeloptera","G1-bay-mid","Bay","Mid",0
"Coeloptera","G1-Loblolly-High","Loblolly","Upper",1
"Coeloptera","G1-loblolly-mid","Loblolly","Mid",1
"Coeloptera","G1-oak-high","Oak","Upper",2
"Coeloptera","G1-oak-mid","Oak","Mid",0
"Coeloptera","G1-open-low","Open","Low",1
"Coeloptera","G1-open-mid","Open","Mid",9
"Coeloptera","G1-open-upper","Open","Upper",0
"Coeloptera","G1-Tulip-low","Tulip-poplar","Low",0
"Coeloptera","G2-bay-mid","Bay","Mid",1
"Coeloptera","G2-loblolly-upper","Loblolly","Upper",0
"Coeloptera","G2-open-low","Open","Low",0
"Coeloptera","G3-hickory-mid","Hickory","Mid",1
"Coeloptera","G3-loblolly-upper","Loblolly","Upper",0
"Coeloptera","G3-open-low","Open","Mid",0
"Coeloptera","G3-open-upper","Open","Upper",0
"Coeloptera","G3-sycamore-low","Sycamore","Low",1
"Coeloptera","T-hickory-mid","Hickory","Mid",0
"Coeloptera","T-oak-low","Oak","Low",5
"Coeloptera","T-oak-upper","Oak","Upper",0
"Coeloptera","T-open-low","Open","Low",0
"Coeloptera","T-open-mid","Open","Mid",0
"Coeloptera","T-open-upper","Open","Upper",1
"Collembola","A-bay-mid","Bay","Mid",3
"Collembola","A-loblolly-mid","Loblolly","Mid",0
"Collembola","A-open-mid","Open","Mid",0
"Collembola","A-sycamore-low","Sycamore","Low",0
"Collembola","G1-bay-low","Bay","Low",0
"Collembola","G1-bay-mid","Bay","Mid",4
"Collembola","G1-Loblolly-High","Loblolly","Upper",4
"Collembola","G1-loblolly-mid","Loblolly","Mid",0
"Collembola","G1-oak-high","Oak","Upper",0
"Collembola","G1-oak-mid","Oak","Mid",0
"Collembola","G1-open-low","Open","Low",0
"Collembola","G1-open-mid","Open","Mid",0
"Collembola","G1-open-upper","Open","Upper",0
"Collembola","G1-Tulip-low","Tulip-poplar","Low",0
"Collembola","G2-bay-mid","Bay","Mid",0
"Collembola","G2-loblolly-upper","Loblolly","Upper",0
"Collembola","G2-open-low","Open","Low",0
"Collembola","G3-hickory-mid","Hickory","Mid",0
"Collembola","G3-loblolly-upper","Loblolly","Upper",0
"Collembola","G3-open-low","Open","Mid",0
"Collembola","G3-open-upper","Open","Upper",0
"Collembola","G3-sycamore-low","Sycamore","Low",0
"Collembola","T-hickory-mid","Hickory","Mid",3
"Collembola","T-oak-low","Oak","Low",0
"Collembola","T-oak-upper","Oak","Upper",4
"Collembola","T-open-low","Open","Low",0
"Collembola","T-open-mid","Open","Mid",0
"Collembola","T-open-upper","Open","Upper",0
"Diplopoda","A-bay-mid","Bay","Mid",4
"Diplopoda","A-loblolly-mid","Loblolly","Mid",0
"Diplopoda","A-open-mid","Open","Mid",2
"Diplopoda","A-sycamore-low","Sycamore","Low",0
"Diplopoda","G1-bay-low","Bay","Low",0
"Diplopoda","G1-bay-mid","Bay","Mid",0
"Diplopoda","G1-Loblolly-High","Loblolly","Upper",0
"Diplopoda","G1-loblolly-mid","Loblolly","Mid",2
"Diplopoda","G1-oak-high","Oak","Upper",0
"Diplopoda","G1-oak-mid","Oak","Mid",0
"Diplopoda","G1-open-low","Open","Low",0
"Diplopoda","G1-open-mid","Open","Mid",0
"Diplopoda","G1-open-upper","Open","Upper",3
"Diplopoda","G1-Tulip-low","Tulip-poplar","Low",0
"Diplopoda","G2-bay-mid","Bay","Mid",1
"Diplopoda","G2-loblolly-upper","Loblolly","Upper",0
"Diplopoda","G2-open-low","Open","Low",0
"Diplopoda","G3-hickory-mid","Hickory","Mid",0
"Diplopoda","G3-loblolly-upper","Loblolly","Upper",0
"Diplopoda","G3-open-low","Open","Mid",0
"Diplopoda","G3-open-upper","Open","Upper",3
"Diplopoda","G3-sycamore-low","Sycamore","Low",0
"Diplopoda","T-hickory-mid","Hickory","Mid",2
"Diplopoda","T-oak-low","Oak","Low",0
"Diplopoda","T-oak-upper","Oak","Upper",2
"Diplopoda","T-open-low","Open","Low",0
"Diplopoda","T-open-mid","Open","Mid",0
"Diplopoda","T-open-upper","Open","Upper",0
"Hymenoptera","A-bay-mid","Bay","Mid",4
"Hymenoptera","A-loblolly-mid","Loblolly","Mid",0
"Hymenoptera","A-open-mid","Open","Mid",6
"Hymenoptera","A-sycamore-low","Sycamore","Low",0
"Hymenoptera","G1-bay-low","Bay","Low",0
"Hymenoptera","G1-bay-mid","Bay","Mid",0
"Hymenoptera","G1-Loblolly-High","Loblolly","Upper",0
"Hymenoptera","G1-loblolly-mid","Loblolly","Mid",0
"Hymenoptera","G1-oak-high","Oak","Upper",0
"Hymenoptera","G1-oak-mid","Oak","Mid",8
"Hymenoptera","G1-open-low","Open","Low",2
"Hymenoptera","G1-open-mid","Open","Mid",2
"Hymenoptera","G1-open-upper","Open","Upper",4
"Hymenoptera","G1-Tulip-low","Tulip-poplar","Low",0
"Hymenoptera","G2-bay-mid","Bay","Mid",0
"Hymenoptera","G2-loblolly-upper","Loblolly","Upper",0
"Hymenoptera","G2-open-low","Open","Low",0
"Hymenoptera","G3-hickory-mid","Hickory","Mid",0
"Hymenoptera","G3-loblolly-upper","Loblolly","Upper",0
"Hymenoptera","G3-open-low","Open","Mid",21
"Hymenoptera","G3-open-upper","Open","Upper",2
"Hymenoptera","G3-sycamore-low","Sycamore","Low",0
"Hymenoptera","T-hickory-mid","Hickory","Mid",0
"Hymenoptera","T-oak-low","Oak","Low",0
"Hymenoptera","T-oak-upper","Oak","Upper",0
"Hymenoptera","T-open-low","Open","Low",0
"Hymenoptera","T-open-mid","Open","Mid",5
"Hymenoptera","T-open-upper","Open","Upper",0
"Isopoda","A-bay-mid","Bay","Mid",0
"Isopoda","A-loblolly-mid","Loblolly","Mid",0
"Isopoda","A-open-mid","Open","Mid",0
"Isopoda","A-sycamore-low","Sycamore","Low",9
"Isopoda","G1-bay-low","Bay","Low",1
"Isopoda","G1-bay-mid","Bay","Mid",4
"Isopoda","G1-Loblolly-High","Loblolly","Upper",0
"Isopoda","G1-loblolly-mid","Loblolly","Mid",0
"Isopoda","G1-oak-high","Oak","Upper",1
"Isopoda","G1-oak-mid","Oak","Mid",0
"Isopoda","G1-open-low","Open","Low",7
"Isopoda","G1-open-mid","Open","Mid",1
"Isopoda","G1-open-upper","Open","Upper",0
"Isopoda","G1-Tulip-low","Tulip-poplar","Low",0
"Isopoda","G2-bay-mid","Bay","Mid",0
"Isopoda","G2-loblolly-upper","Loblolly","Upper",3
"Isopoda","G2-open-low","Open","Low",9
"Isopoda","G3-hickory-mid","Hickory","Mid",0
"Isopoda","G3-loblolly-upper","Loblolly","Upper",3
"Isopoda","G3-open-low","Open","Mid",19
"Isopoda","G3-open-upper","Open","Upper",0
"Isopoda","G3-sycamore-low","Sycamore","Low",2
"Isopoda","T-hickory-mid","Hickory","Mid",1
"Isopoda","T-oak-low","Oak","Low",10
"Isopoda","T-oak-upper","Oak","Upper",0
"Isopoda","T-open-low","Open","Low",8
"Isopoda","T-open-mid","Open","Mid",1
"Isopoda","T-open-upper","Open","Upper",0
